time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0,0,0,0,0,0,3,8,5,0,-1,-1
1.0,0,0,0,0,0,0,3,8,5,0,-1,-1
2.0,0,0,0,0,0,0,3,8,5,0,-1,-1
3.0,0,0,0,0,0,0,3,8,5,0,-1,-1
4.0,0,0,0,0,0,0,3,8,5,0,-1,-1
5.0,0,0,0,0,0,0,3,8,5,0,-1,-1
6.0,0,0,0,0,0,0,3,8,5,0,-1,-1
7.0,0,0,0,0,0,0,3,8,5,0,-1,-1
8.0,0,0,0,0,0,0,3,8,5,0,-1,-1
9.0,0,0,0,0,0,0,3,8,5,0,-1,-1
10.0,0,0,0,0,0,0,3,8,5,0,-1,-1
11.0,0,0,0,0,0,0,3,8,5,0,-1,-1
12.0,0,0,0,0,0,0,3,8,5,0,-1,-1
13.0,0,0,0,0,0,0,3,8,5,0,-1,-1
14.0,0,0,0,0,0,0,3,8,5,0,-1,-1
15.0,0,0,0,0,0,0,3,8,5,0,-1,-1
16.0,0,0,0,0,0,0,3,8,5,0,-1,-1
17.0,0,0,0,0,0,0,3,8,5,0,-1,-1
18.0,0,0,0,0,0,0,3,8,5,0,-1,-1
19.0,-1,0,0,0,0,0,3,8,5,0,-1,-1
20.0,-1,0,0,0,0,0,3,8,5,0,-1,-1
21.0,-1,0,0,0,0,0,3,8,4,0,-1,-1
22.0,-1,0,0,0,0,0,3,8,4,0,-1,-1
23.0,-1,0,0,0,0,0,3,8,4,0,-1,-1
24.0,-1,0,0,0,0,0,2,8,4,0,-1,-1
25.0,-1,0,0,0,0,0,2,8,4,0,-1,-1
26.0,-1,0,0,0,0,0,2,8,4,0,-1,-1
27.0,-1,0,0,0,0,0,2,8,4,0,-1,-1
28.0,-1,0,0,0,0,0,2,8,4,0,-1,-1
29.0,-1,0,0,0,0,0,2,8,4,0,-1,-1
30.0,-1,0,0,0,0,0,2,8,4,0,0,-1
31.0,-1,0,0,0,0,0,2,7,4,0,0,-1
32.0,-1,0,0,0,0,0,3,7,4,0,0,-1
33.0,-1,0,0,0,0,0,3,7,4,0,0,-1
34.0,-1,0,0,0,0,0,3,7,4,0,0,-1
35.0,-1,0,0,0,0,0,3,7,4,0,0,-1
36.0,-1,0,0,1,0,0,3,7,4,0,0,-1
37.0,-1,0,0,1,0,0,3,7,4,0,0,-1
38.0,-1,0,0,1,0,0,3,7,4,0,0,0
39.0,-1,-1,0,1,0,0,3,7,4,0,0,0
40.0,-1,-1,0,1,0,0,3,7,4,0,0,0
41.0,-1,-1,0,1,0,0,3,7,4,0,0,0
42.0,-1,-1,0,1,0,0,3,7,4,0,0,0
43.0,-1,-1,0,1,0,0,3,7,4,0,0,0
44.0,-1,0,0,1,-1,0,3,7,4,0,0,0
45.0,-1,0,0,1,-1,0,3,7,4,0,0,0
46.0,-1,0,0,1,-1,0,3,7,3,0,0,0
47.0,-1,0,0,1,-1,0,3,7,3,0,0,0
48.0,-1,0,0,1,-1,0,3,6,3,0,0,0
49.0,-1,0,0,1,-1,0,3,6,3,0,0,0
50.0,-1,0,0,1,-1,0,3,6,3,0,0,0
51.0,-1,0,0,1,-1,0,3,6,3,0,0,0
52.0,-1,0,0,1,-1,0,3,6,3,0,0,0
53.0,-1,0,0,1,-1,0,3,6,3,0,0,0
54.0,-1,0,0,1,-1,0,3,6,3,0,0,0
55.0,-1,0,0,1,-1,0,3,6,3,0,0,0
56.0,-1,0,0,1,-1,0,3,6,3,0,0,0
57.0,-1,0,0,1,-1,0,3,6,3,0,0,0
58.0,-1,0,0,1,-1,0,3,6,3,0,0,0
59.0,-1,0,0,1,-1,0,3,6,3,0,0,0
60.0,-1,-1,0,1,-1,0,3,6,3,0,0,0
61.0,-1,-1,0,1,-1,0,3,6,3,0,0,0
62.0,-1,-1,0,1,-1,0,3,6,3,0,0,0
63.0,-1,-1,0,1,-1,0,3,5,3,0,0,0
64.0,-1,0,0,1,-1,0,2,5,3,0,0,0
65.0,-1,0,0,1,-1,0,2,5,2,0,0,0
66.0,-1,0,0,1,0,0,2,5,2,0,0,0
67.0,-1,-1,0,1,0,0,2,5,2,0,0,-1
68.0,-1,-1,0,1,0,0,2,5,2,0,0,-1
69.0,-1,-8,0,1,0,-1,1,5,-3,-1,-1,-7
70.0,0,-6,-7,2,1,-7,0,-11,-25,-3,-3,-2
71.0,0,-17,-5,3,2,-4,0,-13,-35,-4,-4,-17
72.0,0,-19,-6,3,2,-6,0,-10,-38,-6,-5,-15
73.0,1,-19,-6,3,2,-6,0,-11,-26,-6,-5,-16
74.0,1,-10,-6,3,2,-6,0,-3,-8,-6,-6,-7
75.0,0,1,-5,2,2,-5,1,6,9,-5,-4,-2
76.0,0,0,-4,2,1,-4,1,5,15,-4,-3,0
77.0,0,0,-3,1,1,-3,2,7,14,-3,-2,0
78.0,0,1,-2,1,0,-2,2,8,14,-3,-2,1
79.0,0,2,-1,1,0,-2,3,8,14,-2,-1,2
80.0,0,4,0,1,0,-1,3,9,14,-1,-1,3
81.0,-1,4,0,0,0,0,3,9,13,-1,-1,3
82.0,-1,4,0,0,0,0,4,9,12,0,0,3
83.0,-1,4,0,0,0,0,4,9,11,0,0,3
84.0,-1,4,0,0,0,0,4,9,9,0,0,3
