time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
103.0,3,2,0,-2,2,3,-1,-1,2,3,1,1
104.0,3,2,0,-2,2,3,-1,-1,2,3,1,1
105.0,3,2,0,-2,2,3,-1,-1,2,3,1,1
106.0,3,2,0,-2,2,3,-1,-1,2,3,1,1
107.0,3,2,0,-2,2,3,-1,-1,2,3,1,1
108.0,3,2,0,-2,2,3,-1,-1,2,3,1,1
109.0,3,2,1,-2,2,3,-1,-1,1,3,1,1
110.0,3,2,1,-2,2,3,-1,-1,1,3,1,1
111.0,3,2,1,-2,2,3,-1,-1,1,3,1,1
112.0,3,2,1,-1,2,3,-1,-1,1,3,1,1
113.0,3,2,1,-1,2,3,-1,-1,1,3,1,1
114.0,3,2,1,-1,2,3,-1,-1,1,3,1,1
115.0,3,2,1,-1,2,3,-1,-1,1,3,1,1
116.0,3,2,1,-1,2,3,-1,-1,1,3,1,1
117.0,3,2,1,-1,2,3,-1,-1,1,3,1,1
118.0,3,2,1,-1,2,3,-1,-1,0,3,1,1
119.0,3,2,1,-1,2,3,-1,-1,0,3,1,1
120.0,3,2,1,-1,2,3,-1,-1,0,2,1,1
121.0,3,2,1,-1,2,3,-1,-1,0,2,1,1
122.0,3,2,0,-1,2,3,-1,-1,0,2,1,1
123.0,3,2,0,-1,2,3,-1,-1,0,2,1,1
124.0,3,2,0,-1,2,3,-1,-2,0,2,1,1
125.0,3,2,0,-1,2,3,-1,-2,0,2,1,1
126.0,3,2,0,-1,2,3,-1,-2,0,2,1,1
127.0,3,1,0,-1,2,3,-1,-2,0,2,1,1
128.0,3,1,0,-1,2,3,-1,-2,-1,2,1,1
129.0,3,1,0,-1,2,3,-1,-2,-1,2,1,1
130.0,3,1,0,-1,2,3,-1,-2,-1,2,1,1
131.0,3,1,0,-1,2,2,-1,-2,-1,2,0,1
132.0,3,1,0,-1,2,2,-1,-2,-1,2,0,1
133.0,3,1,0,-1,2,2,-1,-2,-1,2,0,1
134.0,3,1,0,-1,2,2,-1,-2,-1,2,0,1
135.0,3,1,0,-1,2,2,-1,-2,-1,2,0,1
136.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
137.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
138.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
139.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
140.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
141.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
142.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
143.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
144.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
145.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
146.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
147.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
148.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
149.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
150.0,3,1,0,-1,2,2,-1,-2,-1,1,0,1
151.0,3,0,-1,-1,2,2,-1,-1,-1,1,0,1
152.0,3,-5,-6,-1,4,0,-2,4,-8,0,0,-1
153.0,17,-11,-11,-2,10,-1,-2,26,-12,0,-1,-3
154.0,27,-7,-11,-2,10,-4,-2,42,-9,-1,-2,-3
155.0,17,-8,-9,-2,9,-4,-2,50,-8,-1,-2,-3
156.0,13,-6,-8,-2,9,-4,-2,39,-6,-1,-2,-3
157.0,7,-4,-8,-2,9,-4,-2,17,-2,-1,-2,-3
158.0,3,-2,-7,-2,8,-3,-1,3,0,-1,-1,-1
159.0,2,0,-5,-2,7,-1,-1,-5,1,0,-1,0
160.0,1,1,-4,-1,5,0,-1,-11,2,0,-1,1
161.0,-1,2,-3,-1,5,0,-1,-11,2,0,-1,1
162.0,-1,4,-2,-1,3,1,-1,-13,2,0,-1,2
163.0,-2,4,-1,-1,3,1,-1,-14,2,1,-1,2
164.0,-3,4,-1,-1,3,1,-1,-15,2,1,0,2
165.0,-3,4,0,-1,2,2,-1,-15,2,1,0,2
166.0,-3,4,1,-1,2,3,-1,-15,1,1,0,2
167.0,-3,4,1,-1,1,3,-1,-15,1,1,0,2
168.0,-3,4,2,0,1,3,-1,-14,1,1,0,2
169.0,-2,4,2,0,1,3,-1,-14,0,1,0,2
170.0,-2,4,2,0,0,4,-1,-12,0,1,0,1
171.0,-1,4,3,0,0,4,-1,-10,0,1,0,1
172.0,-1,3,3,0,0,4,-1,-10,-1,1,0,1
173.0,0,3,3,0,0,4,-1,-9,-1,1,0,1
174.0,0,3,3,0,0,4,-1,-9,-1,1,0,1
175.0,0,2,3,0,0,4,-1,-7,-2,1,0,1
176.0,1,2,3,0,0,4,-1,-7,-2,1,0,1
177.0,1,2,3,0,0,4,-1,-6,-2,1,0,1
178.0,1,2,3,0,0,4,-1,-5,-2,1,0,1
179.0,1,2,3,0,0,4,-1,-5,-2,1,0,1
180.0,2,2,3,0,0,4,-1,-5,-2,1,0,1
181.0,2,1,3,0,0,4,-1,-4,-2,1,0,1
182.0,2,1,2,0,0,4,-1,-4,-3,1,0,1
183.0,2,1,2,0,0,3,-1,-3,-3,1,0,1
184.0,2,1,2,0,0,3,-1,-3,-3,0,0,1
185.0,2,1,2,0,0,3,-1,-3,-3,0,0,1
186.0,3,1,2,0,0,3,-1,-3,-3,0,0,1
187.0,3,1,2,0,1,3,-1,-3,-3,0,0,1
188.0,3,1,2,0,1,3,-1,-3,-3,0,0,1
189.0,3,1,2,0,1,3,-1,-2,-4,0,0,1
190.0,3,1,2,0,1,3,-1,-2,-4,0,0,1
191.0,3,2,2,0,1,3,-1,-2,-4,0,0,1
192.0,3,2,2,-1,1,3,-1,-2,-4,0,0,1
193.0,3,2,1,-1,1,3,-1,-2,-4,0,0,1
194.0,3,2,1,-1,1,3,-1,-2,-4,0,0,1
195.0,3,2,1,-1,1,3,-1,-2,-4,0,0,1
196.0,3,2,1,-1,1,3,-1,-2,-4,0,0,1
197.0,4,3,1,-1,2,3,-1,-2,-4,0,0,1
198.0,4,3,1,-1,2,3,-1,-2,-4,0,0,1
199.0,4,3,1,-1,2,3,-2,-2,-4,0,0,1
200.0,4,4,1,-1,2,3,-2,-2,-4,0,0,1
201.0,4,4,1,-2,2,3,-2,-2,-4,0,0,1
202.0,5,4,1,-2,2,3,-2,-2,-3,0,0,1
203.0,5,4,1,-2,2,3,-2,-2,-3,0,0,1
204.0,5,5,1,-2,2,4,-3,-2,-3,1,0,2
205.0,6,6,1,-2,2,4,-3,-2,-3,1,1,2
206.0,6,6,1,-3,2,4,-4,-2,-3,1,1,3
207.0,7,6,1,-3,3,4,-4,-2,-3,1,1,3
208.0,7,7,1,-3,3,4,-4,-2,-3,2,1,3
209.0,8,7,1,-4,3,4,-5,-2,-3,2,2,4
210.0,8,8,1,-4,3,4,-5,-2,-3,2,2,5
211.0,8,8,1,-4,3,4,-6,-2,-3,2,2,5
212.0,9,9,1,-5,3,5,-7,-3,-3,3,3,6
213.0,10,9,1,-5,3,5,-8,-3,-4,3,3,6
214.0,11,10,1,-5,3,5,-8,-3,-4,3,4,6
215.0,11,10,1,-6,3,5,-9,-4,-5,4,4,7
216.0,12,11,1,-6,3,5,-10,-4,-5,4,4,7
217.0,13,12,1,-7,4,6,-11,-5,-5,4,4,8
218.0,13,12,1,-7,4,6,-12,-5,-6,4,5,9
219.0,14,13,1,-8,4,6,-13,-5,-6,5,5,9
220.0,15,13,0,-8,5,6,-14,-6,-6,5,6,11
221.0,17,14,0,-9,5,6,-15,-6,-7,6,7,13
222.0,18,14,0,-9,6,6,-16,-7,-8,6,7,13
